text,choose_one,class_label
just happened a terrible car crash,Relevant,1
our deeds are the reason of this  earthquake may allah forgive us all,Relevant,1
"heard about  earthquake is different cities, stay safe everyone ",Relevant,1
"there is a forest fire at spot pond, geese are fleeing across the street, i cannot save them all",Relevant,1
forest fire near la ronge sask  canada,Relevant,1
all residents asked to 'shelter in place' are being notified by officers  no other evacuation or shelter in place orders are expected,Relevant,1
"13,000 people receive  wildfires evacuation orders in california ",Relevant,1
just got sent this photo from ruby  alaska as smoke from  wildfires pours into a school ,Relevant,1
 rockyfire update    california hwy  20 closed in both directions due to lake county fire    cafire  wildfires,Relevant,1
apocalypse lighting   spokane  wildfires,Relevant,1
" flood  disaster heavy rain causes flash flooding of streets in manitou, colorado springs areas",Relevant,1
typhoon soudelor kills 28 in china and taiwan,Relevant,1
we're shaking   it's an earthquake,Relevant,1
i'm on top of the hill and i can see a fire in the woods   ,Relevant,1
there's an emergency evacuation happening now in the building across the street,Relevant,1
i'm afraid that the tornado is coming to our area   ,Relevant,1
three people died from the heat wave so far,Relevant,1
haha south tampa is getting flooded hah  wait a second i live in south tampa what am i gonna do what am i gonna do fvck  flooding,Relevant,1
 flood in bago myanmar  we arrived bago,Relevant,1
damage to school bus on 80 in multi car crash  breaking ,Relevant,1
"they'd probably still show more life than arsenal did yesterday, eh? eh?",Not Relevant,0
hey! how are you?,Not Relevant,0
what's up man?,Not Relevant,0
i love fruits,Not Relevant,0
summer is lovely,Not Relevant,0
my car is so fast,Not Relevant,0
what a nice hat?,Not Relevant,0
what a goooooooaaaaaal!!!!!!,Not Relevant,0
fuck off!,Not Relevant,0
no i don't like cold!,Not Relevant,0
this is ridiculous    ,Not Relevant,0
london is cool  ),Not Relevant,0
love skiing,Not Relevant,0
what a wonderful day!,Not Relevant,0
nooooooooo! don't do that!,Not Relevant,0
looooool,Not Relevant,0
no way   i can't eat that shit,Not Relevant,0
was in nyc last week!,Not Relevant,0
love my girlfriend,Not Relevant,0
do you like pasta?,Not Relevant,0
no don't tell me that!,Not Relevant,0
birmingham wholesale market is ablaze bbc news   fire breaks out at birmingham's wholesale market ,Relevant,1
 will you wear shorts for race ablaze ?,Not Relevant,0
 wholesale markets ablaze ,Relevant,1
we always try to bring the heavy   metal  rt ,Not Relevant,0
 africanbaze  breaking news nigeria flag set ablaze in aba  ,Relevant,1
 previouslyondoyintv  toke makinwa s marriage crisis sets nigerian twitter ablaze    ,Not Relevant,0
on plus side look at the sky last night it was ablaze ,Not Relevant,0
  mufc they've built so much hype around new acquisitions but i doubt they will set the epl ablaze this season ,Not Relevant,0
inec office in abia set ablaze   ,Relevant,1
barbados  bridgetown jamaica   two cars set ablaze  santa cruz     head of the st elizabeth police superintende     ,Relevant,1
ablaze for you lord  d,Not Relevant,0
check these out       nsfw,Not Relevant,0
check these out       nsfw,Not Relevant,0
psa  i  m splitting my personalities  ?? techies follow  burners follow ,Not Relevant,0
on the outside you're ablaze and alive but you're dead inside,Not Relevant,0
had an awesome time visiting the cfc head office the ancop site and ablaze  thanks to tita vida for taking care of us ??,Not Relevant,0
soooo pumped for ablaze ???? ,Not Relevant,0
i wanted to set chicago ablaze with my preaching    but not my hotel! ,Not Relevant,0
